Customer id,Recency,Frequency,Monetary,Category_Books,Category_Clothing,Category_Electronics,Category_Groceries,Mall_CYB,Mall_MK,Mall_ST,Age_scaled
C00001,316.0,1.0,1828.44,0.2192251318063486,0.0,0.4620550852092494,0.0,0.0,1.0,0.0,-1.3151073456547826
C00002,250.0,2.0,3256.2999999999997,0.15860639375978872,0.2673310198691767,0.3515093818137149,0.0,0.0,0.5,0.5,-1.6503850610264106
C00003,372.0,4.0,10786.26,0.06811814289661107,0.16336895272318674,0.6362678073771633,0.012714323593163896,0.25,0.5,0.0,1.0988922050209395
C00004,0.0,4.0,7106.5599999999995,0.17979725774495678,0.48516722577449567,0.0,0.038595326008645535,0.0,0.0,0.25,-0.9127740872088288
C00005,118.0,1.0,333.14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8977255757979627
C00006,607.0,1.0,3683.2,0.11207917028670722,0.0,0.8879208297132928,0.0,0.0,1.0,0.0,0.8977255757979627
C00007,128.0,2.0,7302.4,0.017935199386503068,0.2734922765118317,0.5849953439964943,0.0,0.0,0.5,0.0,0.9647811188722883
C00008,251.0,2.0,1914.55,0.07386592149591287,0.0,0.0,0.0,0.0,0.0,0.0,0.09305905890605537
C00009,27.0,3.0,6288.35,0.20960665357367192,0.1757201809695707,0.4348787837827093,0.0,0.0,0.3333333333333333,0.6666666666666666,0.026003515831729752
C00010,132.0,4.0,15554.98,0.030977860466551554,0.3700609065392563,0.5156310069186847,0.008816469066498318,0.5,0.0,0.0,1.5012254634668931
C00011,177.0,2.0,691.84,0.0,0.3313049259944496,0.0,0.0,0.5,0.0,0.5,0.16011460198038097
C00012,166.0,4.0,6422.63,0.06503254897137153,0.43138869902205174,0.37589429875300306,0.021352623457991507,0.0,0.5,0.0,1.0988922050209395
C00013,192.0,3.0,5639.46,0.0,0.41667464615406435,0.4064626755043922,0.024317931149436287,0.0,0.3333333333333333,0.0,1.031836661946614
C00014,489.0,1.0,1152.27,0.20507346368472668,0.20021349162956598,0.0,0.0,1.0,0.0,0.0,1.5012254634668931
C00015,247.0,4.0,6133.03,0.06259711757483657,0.42464165347307936,0.29020728742562807,0.0,0.25,0.25,0.0,-0.17516311339124707
C00016,137.0,1.0,2358.1800000000003,0.16997854277451255,0.32909701549500037,0.0,0.0,1.0,0.0,0.0,-1.583329517952085
C00017,458.0,2.0,2804.08,0.0,0.3437455422099227,0.0,0.0,0.0,0.5,0.5,0.2271701450547066
C00018,174.0,6.0,9029.94,0.08878021337904793,0.19602898801099453,0.4851183950280954,0.01518725484333229,0.16666666666666666,0.0,0.16666666666666666,-0.6445519149115264
C00019,11.0,3.0,3006.13,0.0,0.8871971604687755,0.0,0.045620116229171725,0.6666666666666666,0.3333333333333333,0.0,1.0988922050209395
C00020,402.0,2.0,2459.51,0.057499257982281025,0.8270346532439389,0.0,0.055759073961886715,1.0,0.0,0.0,-1.1139407164318056
C00021,404.0,3.0,7405.43,0.21334210167404186,0.18471310916449143,0.3712505553357468,0.01851884360530043,0.0,0.0,0.3333333333333333,-1.5162739748777594
C00022,173.0,3.0,3436.71,0.3183015151118367,0.3877720261529195,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,-0.7786630010601776
